package,in_degree,betweenness,eigenvector,kcore,predicted_risk,eigen_norm,deg_norm,bet_norm,core_norm,priority_score
pytest,52,0.05128417119481802,0.17135665648758638,10,0.29128637043193983,0.7034706769246937,1.0,0.4318943667990885,1.0,0.7702624454246653
requests,41,0.053837087722279554,0.15135697284148236,10,0.2416705996135404,0.6213659528877623,0.7884615384615384,0.4533939882501287,1.0,0.6756760024372064
numpy,43,0.029021285833747166,0.136991043871199,10,0.23406757072724732,0.5623894883340821,0.8269230769230769,0.24440542913810595,1.0,0.6165687571774789
cryptography,31,0.05256461095289941,0.11626218211302766,10,0.18769672785984895,0.4772912685636959,0.5961538461538461,0.4426777080456527,1.0,0.5667231045879735
feast,1,0.10180302930466881,0.24358749000980756,10,0.14901901566670786,1.0,0.019230769230769232,0.8573435790303212,1.0,0.564895381401404
packaging,33,0.036354485851495796,0.1150582792007347,10,0.18902859757514662,0.4723488845675208,0.6346153846153846,0.30616264787612923,1.0,0.5401647251224968
pyyaml,33,0.03133319963580106,0.12990249189942055,10,0.19395104311406208,0.5332888478558168,0.6346153846153846,0.2638754239604661,1.0,0.539666550605457
transformers,8,0.07530002689109772,0.21769729198926976,10,0.1545074700523386,0.8937129405968451,0.15384615384615385,0.6341461054433716,1.0,0.5305248812908421
typing-extensions,35,0.030272053221976663,0.09699816669193102,10,0.18631986533717398,0.39820668412825955,0.6730769230769231,0.25493888179156154,1.0,0.5253537705938897
agno,1,0.10280599992067649,0.17161228829169467,10,0.11698121460915975,0.7045201224610715,0.019230769230769232,0.8657901883646747,1.0,0.5083333886939243
sagemaker,1,0.10588895868456291,0.15693178679764416,10,0.11145402450419727,0.6442522429675088,0.019230769230769232,0.8917536092833492,1.0,0.5040688390708142
pandas,29,0.026256270609710544,0.11731181402573129,10,0.17141397328912872,0.48160032364965855,0.5576923076923077,0.22111959899689848,1.0,0.48573286750592437
pydantic,28,0.02784826702375921,0.11483268200893813,10,0.16708197772082845,0.47142274015925295,0.5384615384615384,0.23452674329060297,1.0,0.48002718640364683
pillow,22,0.03266251885258956,0.1318663192290145,10,0.1537905931759912,0.5413509504273195,0.4230769230769231,0.27507040806633665,1.0,0.4600220817361341
pytest-cov,30,0.015137355227722622,0.10968318679258394,10,0.16786305555617703,0.45028251158615645,0.5769230769230769,0.12748062996386567,1.0,0.4590699220756217
sphinx,30,0.014718165951516822,0.08231702005265976,10,0.15540156427653912,0.3379361561192877,0.5769230769230769,0.12395038890121657,1.0,0.4355415786634532
apache-airflow,8,0.118742394291692,0.015391425760169972,5,0.07867465883945171,0.06318643769247044,0.15384615384615385,1.0,0.5,0.4241757490769556
jinja2,25,0.01882906935494104,0.08645829144262367,10,0.13983602806491946,0.3549373222702964,0.4807692307692308,0.15857074019147047,1.0,0.41086637881919275
open-webui,0,0.0637394258591367,0.15641546407056559,10,0.09269575788245235,0.6421325826883303,0.0,0.5367874400659304,1.0,0.3894627485574451
setuptools,14,0.036818099867326905,0.10381463749564156,10,0.1124331105058484,0.42619034947756007,0.2692307692307692,0.3100670159714216,1.0,0.38595048237924623
