package,cwe_influence,dependent_reach,avg_depth,p_impact
mlflow,21.99999999975151,16,2.6875,11.216216216091965
gradio,12.999999999853166,1,1.0,6.513513513440096
vllm,5.99999999993223,12,2.9166666666666665,3.162162162128273
litellm,1.99999999997741,3,1.0,1.0405405405292445
pillow,0.999999999988705,37,1.4864864864864864,0.999999999994339
clearml,1.99999999997741,0,0.0,0.999999999988705
langchain-core,0.999999999988705,24,3.375,0.824324324318668
langchain,0.999999999988705,18,3.111111111111111,0.7432432432375892
keras,0.999999999988705,13,2.230769230769231,0.6756756756700234
transformers,0.999999999988705,12,1.3333333333333333,0.6621621621565102
llama-index-core,0.999999999988705,2,1.0,0.5270270270213788
lightning,0.999999999988705,0,0.0,0.4999999999943525
streamlit,0.999999999988705,0,0.0,0.4999999999943525
scikit-learn,0.0,23,1.6956521739130435,0.3108108108108024
langchain-community,0.0,20,3.7,0.27027027027026296
torch,0.0,14,1.2142857142857142,0.18918918918918406
sagemaker,0.0,13,2.230769230769231,0.1756756756756709
pytorch-lightning,0.0,1,1.0,0.013513513513513148
lightgbm,0.0,0,0.0,0.0
llama-index,0.0,0,0.0,0.0
