cwe,in_deg,out_deg,deg,betweenness
CWE-502,75,57,132.0,0.19182611788783305
CWE-20,42,2,44.0,0.04066705693714513
CWE-94,34,100,133.0,0.2854741006141879
CWE-835,34,3,37.0,0.04657166964913058
CWE-120,32,0,32.0,0.04836659685456047
CWE-22,31,44,73.0,0.03043939668548305
CWE-601,26,10,36.0,0.01797130247558151
CWE-93,23,3,26.0,0.015166083980359981
CWE-352,19,51,70.0,0.06526630336724545
CWE-400,19,18,37.0,0.028102963947505187
CWE-79,18,89,107.0,0.16800920020813412
CWE-295,18,12,30.0,0.010108524418384454
CWE-862,17,0,17.0,0.01438665554738521
CWE-444,16,6,22.0,0.01246686197771283
CWE-772,16,6,22.0,0.01246686197771283
CWE-61,15,2,17.0,0.012144908397444726
CWE-80,15,2,17.0,0.012144908397444726
CWE-1333,14,115,127.0,0.2706720795039577
CWE-203,13,11,24.0,0.007118184012560022
CWE-770,13,7,20.0,0.004386817635988137
CWE-415,13,0,13.0,0.005151593096190528
CWE-119,12,11,23.0,0.007087348835469199
CWE-476,12,11,23.0,0.007087348835469199
CWE-754,12,11,23.0,0.007087348835469199
CWE-787,12,11,23.0,0.007087348835469199
CWE-200,11,8,19.0,0.005826394078136784
CWE-190,10,11,21.0,0.007087348835469199
CWE-208,10,11,21.0,0.007087348835469199
CWE-385,10,11,21.0,0.007087348835469199
CWE-1336,9,1,10.0,0.01017453343368986
CWE-74,9,1,10.0,0.01017453343368986
CWE-97,9,1,10.0,0.01017453343368986
CWE-248,8,18,26.0,0.007655588550876726
CWE-669,8,1,9.0,0.0030211755829152548
CWE-78,6,77,83.0,0.16947385387402294
CWE-77,4,12,15.0,0.003512914208105691
CWE-250,4,0,4.0,0.00018758364399450666
CWE-269,4,0,4.0,0.00018758364399450666
CWE-279,4,0,4.0,0.00018758364399450666
CWE-254,3,7,10.0,0.0028052184952215295
CWE-284,3,7,10.0,0.0028052184952215295
CWE-426,3,7,10.0,0.0022171877138662086
CWE-89,3,7,10.0,0.0028052184952215295
CWE-913,3,7,10.0,0.0028052184952215295
CWE-914,3,7,10.0,0.0028052184952215295
CWE-918,3,7,10.0,0.0028052184952215295
CWE-312,3,0,3.0,0.00039449295478613273
CWE-1112,2,0,2.0,0.0
CWE-125,2,0,2.0,0.0
CWE-471,2,0,2.0,0.0
CWE-617,2,0,2.0,0.0
CWE-662,2,0,2.0,0.0
CWE-665,2,0,2.0,0.0
CWE-667,2,0,2.0,0.0
CWE-843,2,0,2.0,0.0
CWE-908,2,0,2.0,0.0
CWE-354,1,69,69.0,0.12428652615277412
CWE-362,1,4,5.0,0.0003219535802681043
CWE-367,1,4,5.0,0.0003219535802681043
CWE-287,0,15,15.0,0.003044979816788572
CWE-351,0,5,5.0,0.0001350356441841103
