cwe,freq_ai,out_strength,in_strength,changeability_index,pagerank,dependent_reach,avg_depth,p_impact
CWE-29,3,0.36363636363636365,0.13793103448275862,0.7249999999985547,0.9999999999927045,19,2.4210526315789473,0.757142857139202
CWE-22,8,0.13793103448275862,0.36363636363636365,0.27499999999945174,0.9999999999927045,22,1.5909090909090908,0.7999999999963436
CWE-502,8,0.0,0.0,0.0,0.0,16,1.125,0.21428571428570814
CWE-1333,3,0.0,0.0,0.0,0.0,12,1.25,0.15714285714285264
CWE-918,6,0.0,0.0,0.0,0.0,17,1.9411764705882353,0.22857142857142204
CWE-94,6,0.0,0.0,0.0,0.0,33,1.303030303030303,0.4571428571428441
CWE-89,3,0.0,0.0,0.0,0.0,19,3.3684210526315788,0.2571428571428498
CWE-770,4,0.0,0.0,0.0,0.0,34,1.3529411764705883,0.47142857142855793
CWE-400,4,0.0,0.0,0.0,0.0,13,1.1538461538461537,0.17142857142856652
CWE-674,3,0.0,0.0,0.0,0.0,21,3.5714285714285716,0.28571428571427754
CWE-79,2,0.0,0.0,0.0,0.0,17,2.588235294117647,0.22857142857142204
CWE-122,3,0.0,0.0,0.0,0.0,36,1.3055555555555556,0.4999999999999857
CWE-78,3,0.0,0.0,0.0,0.0,14,1.9285714285714286,0.1857142857142804
CWE-77,3,0.0,0.0,0.0,0.0,19,2.4210526315789473,0.2571428571428498
CWE-434,3,0.0,0.0,0.0,0.0,16,2.3125,0.21428571428570814
CWE-285,1,0.0,0.0,0.0,0.0,1,1.0,0.0
CWE-601,1,0.0,0.0,0.0,0.0,1,1.0,0.0
CWE-248,2,0.0,0.0,0.0,0.0,11,2.5454545454545454,0.14285714285713877
CWE-20,2,0.0,0.0,0.0,0.0,11,1.2727272727272727,0.14285714285713877
CWE-404,1,0.0,0.0,0.0,0.0,14,1.2142857142857142,0.1857142857142804
CWE-862,1,0.0,0.0,0.0,0.0,3,1.0,0.028571428571427755
CWE-116,2,0.0,0.0,0.0,0.0,4,1.0,0.04285714285714163
CWE-200,2,0.0,0.0,0.0,0.0,21,3.5714285714285716,0.28571428571427754
CWE-521,1,0.0,0.0,0.0,0.0,16,2.6875,0.21428571428570814
CWE-475,2,0.0,0.0,0.0,0.0,17,2.588235294117647,0.22857142857142204
CWE-352,2,0.0,0.0,0.0,0.0,17,2.588235294117647,0.22857142857142204
CWE-367,2,0.0,0.0,0.0,0.0,17,2.588235294117647,0.22857142857142204
CWE-913,2,0.0,0.0,0.0,0.0,12,2.1666666666666665,0.15714285714285264
CWE-345,1,0.0,0.0,0.0,0.0,1,1.0,0.0
CWE-203,2,0.0,0.0,0.0,0.0,13,2.769230769230769,0.17142857142856652
