cwe_list,count
CWE-22,60
CWE-502,50
CWE-79,30
CWE-94,30
CWE-770,30
CWE-200,28
CWE-1333,26
CWE-20,26
CWE-400,25
CWE-78,21
CWE-89,21
CWE-918,18
CWE-29,16
,16
CWE-444,15
CWE-74,13
CWE-77,13
CWE-601,12
CWE-476,10
CWE-674,9
CWE-862,9
CWE-787,8
CWE-369,8
CWE-352,8
CWE-203,7
CWE-863,7
CWE-345,7
CWE-125,7
CWE-284,6
CWE-295,6
CWE-248,6
CWE-306,6
CWE-835,6
CWE-120,6
CWE-209,6
CWE-122,6
CWE-346,5
CWE-208,5
CWE-276,5
CWE-116,5
CWE-434,5
CWE-532,5
CWE-1284,4
CWE-1336,4
CWE-829,4
CWE-23,4
CWE-416,4
CWE-117,4
CWE-407,4
CWE-843,4
CWE-250,4
CWE-130,4
CWE-75,3
CWE-367,3
CWE-362,3
CWE-36,3
CWE-440,3
CWE-611,3
CWE-913,3
CWE-80,3
CWE-61,3
CWE-303,3
CWE-285,3
CWE-668,3
CWE-613,2
CWE-639,2
CWE-522,2
CWE-497,2
CWE-525,2
CWE-426,2
CWE-475,2
CWE-427,2
CWE-73,2
CWE-670,2
CWE-617,2
CWE-749,2
CWE-521,2
CWE-409,2
CWE-669,2
CWE-404,2
CWE-287,2
CWE-95,2
CWE-93,2
CWE-915,2
CWE-173,2
CWE-178,2
CWE-184,2
CWE-201,2
CWE-88,2
CWE-834,2
CWE-281,2
CWE-354,2
CWE-385,2
CWE-772,2
CWE-347,2
CWE-351,2
CWE-377,2
CWE-680,1
CWE-754,1
CWE-940,1
CWE-922,1
CWE-921,1
CWE-776,1
CWE-732,1
CWE-683,1
CWE-83,1
CWE-91,1
CWE-798,1
CWE-693,1
CWE-76,1
CWE-697,1
CWE-807,1
CWE-830,1
CWE-789,1
CWE-1022,1
CWE-653,1
CWE-204,1
CWE-307,1
CWE-292,1
CWE-288,1
CWE-277,1
CWE-270,1
CWE-269,1
CWE-266,1
CWE-237,1
CWE-213,1
CWE-193,1
CWE-311,1
CWE-190,1
CWE-170,1
CWE-150,1
CWE-134,1
CWE-1327,1
CWE-1295,1
CWE-1288,1
CWE-1230,1
CWE-1112,1
CWE-31,1
CWE-312,1
CWE-647,1
CWE-436,1
CWE-599,1
CWE-598,1
CWE-59,1
CWE-539,1
CWE-501,1
CWE-494,1
CWE-459,1
CWE-457,1
CWE-441,1
CWE-415,1
CWE-327,1
CWE-1023,1
CWE-41,1
CWE-401,1
CWE-392,1
CWE-384,1
CWE-379,1
CWE-378,1
CWE-349,1
CWE-328,1
CWE-410,1
