time,vulnerable_direct_all,vulnerable_direct_ai,impactados_all,impactados_ai,direct_only_all
2022-12-01,2,1,16,3,2
2023-01-01,2,0,15,2,2
2023-02-01,1,0,4,0,1
2023-03-01,1,0,4,0,1
2023-04-01,3,0,6,0,3
2023-05-01,4,0,7,0,4
2023-06-01,6,1,18,2,6
2023-07-01,8,1,26,3,8
2023-08-01,8,0,24,2,8
2023-09-01,9,0,32,2,9
2023-10-01,8,0,13,0,8
2023-11-01,14,1,67,4,14
2023-12-01,17,0,52,3,17
2024-01-01,16,0,52,3,16
2024-02-01,18,0,57,3,18
2024-03-01,20,0,59,3,20
2024-04-01,20,0,58,3,20
2024-05-01,23,0,59,3,23
2024-06-01,24,0,59,3,24
2024-07-01,31,1,66,6,31
2024-08-01,29,0,98,6,29
2024-09-01,30,0,98,6,30
2024-10-01,32,1,98,6,32
2024-11-01,34,1,101,6,34
2024-12-01,36,2,102,6,36
2025-01-01,35,2,100,6,35
2025-02-01,35,1,101,6,35
2025-03-01,33,1,100,6,33
2025-04-01,38,3,101,6,38
2025-05-01,39,3,101,6,39
2025-06-01,39,3,102,6,39
2025-07-01,39,3,102,6,39
2025-08-01,38,3,102,6,38
2025-09-01,38,3,102,6,38
2025-10-01,39,3,102,6,39
2025-11-01,39,3,102,6,39
